Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount rt Resp Acc learning lexicality Index
funtilgi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 4 22 Male Right Morning A 2018-09-19 13:50:24 3 1670 1 1 un NA 1
iddanso NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 7 21 Male Right Morning B 2018-10-08 13:50:59 3 597 1 1 un NA 1
noganama NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 11 25 Male Right Morning B 2018-11-02 13:41:00 3 1184 1 1 un NA 1
nononti NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 26 27 Female Right Morning A 2019-01-21 10:01:44 3 792 1 1 un NA 1
soglimo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 23 32 Female Right Morning B 2019-01-08 13:42:19 3 1215 2 0 un NA 1
ancerche NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 17 24 Male Right Morning B 2018-11-15 14:10:31 3 1191 1 1 un NA 1
ituste NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 16 24 Male Right Morning A 2018-11-15 10:03:56 3 1639 1 1 un NA 1
urraisto NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 14 22 Female Right Morning A 2018-11-12 13:44:47 3 1217 1 1 un NA 1
augubio 21004 B augurio 1 2.942971678 7 6.68 1.85 1 6.41 2.7 1 7 middle 1 yes 1 17 24 Male Right Morning B 2018-11-15 14:10:31 4 1111 2 1 un novelword 1
bottefa 21006 B bottega 0 3.468532444 7 6.76 1.95 1 6.89 1.95 1 7 final 1 yes 1 1 28 Male Right Morning B 2018-09-04 10:04:35 4 2001 -1 0 un novelword 1
gannolo 21007 B cannolo 1 2.689233784 7 6.91 1.95 1 6.86 1.95 1 7 initial 1 yes 1 23 32 Female Right Morning B 2019-01-08 13:42:19 4 1034 2 1 un novelword 1
omnesia 11002 A amnesia 1 3.488683741 7 6.9 1.85 1 6.87 2.15 1 7 initial 1 yes 1 22 25 Male Right Morning A 2019-01-08 10:00:13 4 2001 -1 0 un novelword 1
sentesto 12046 A NA NA NA NA NA NA NA 7.01 2 2 8 NA NA no 1 8 24 Female Right Morning A 2018-10-16 13:48:31 4 1166 2 1 un novelword 1
suomio 12048 A NA NA NA NA NA NA NA 6.64 1.9 1 6 NA NA no 1 14 22 Female Right Morning A 2018-11-12 13:44:47 4 790 2 1 un novelword 2
chialco NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 3 25 Female Right Morning B 2018-09-19 09:54:40 4 1788 2 0 un NA 1
mereedei NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 27 20 Female Right Morning B 2019-01-21 13:43:02 4 1893 1 1 un NA 1
onvalto NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 20 32 Female Right Morning A 2018-12-03 13:26:00 4 2001 -1 0 un NA 1
verezza NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 16 24 Male Right Morning A 2018-11-15 10:03:56 4 1276 2 0 un NA 1
peganta NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 11 25 Male Right Morning B 2018-11-02 13:41:00 4 1158 2 0 un NA 1
siglisci NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 4 22 Male Right Morning A 2018-09-19 13:50:24 4 1936 1 1 un NA 1
ursolto NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 26 27 Female Right Morning A 2019-01-21 10:01:44 4 349 2 0 un NA 1
redeli NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 7 21 Male Right Morning B 2018-10-08 13:50:59 4 386 2 0 un NA 1
antensa 11007 A antenna 1 3.425187354 7 7.02 1.95 1 7.01 1.9 1 7 final 1 yes 1 8 24 Female Right Morning A 2018-10-16 13:48:31 5 1132 1 0 un novelword 1
bandicci 22033 B NA NA NA NA NA NA NA 6.9 1.9 1 8 NA NA no 1 17 24 Male Right Morning B 2018-11-15 14:10:31 5 752 2 1 un novelword 1
bregge 21018 B gregge 1 3.392320354 6 6.71 1.85 1 6.7 1.9 1 6 initial 1 yes 1 27 20 Female Right Morning B 2019-01-21 13:43:02 5 1787 1 0 un novelword 1
favange 21015 B falange 1 2.533345911 7 6.86 1.85 1 6.76 2.15 1 7 middle 1 yes 1 1 28 Male Right Morning B 2018-09-04 10:04:35 5 1879 2 1 un novelword 2
fomirto 12038 A NA NA NA NA NA NA NA 6.73 2.45 2 7 NA NA no 1 14 22 Female Right Morning A 2018-11-12 13:44:47 5 568 2 1 un novelword 2
gerilla 11019 A gorilla 1 3.749031532 7 6.89 1.85 1 6.98 1.8 1 7 initial 1 yes 1 20 32 Female Right Morning A 2018-12-03 13:26:00 5 714 2 1 un novelword 2
scapippo 12045 A NA NA NA NA NA NA NA 6.65 2.75 2 8 NA NA no 1 16 24 Male Right Morning A 2018-11-15 10:03:56 5 1494 2 1 un novelword 1
scatra 22045 B NA NA NA NA NA NA NA 7 1.6 1 6 NA NA no 1 11 25 Male Right Morning B 2018-11-02 13:41:00 5 952 2 1 un novelword 2
spiaglia 21026 B spiaggia 1 4.475241145 8 6.79 1.8 1 6.85 1.95 1 8 final 1 yes 1 23 32 Female Right Morning B 2019-01-08 13:42:19 5 617 1 0 un novelword 1
proffe NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 3 25 Female Right Morning B 2018-09-19 09:54:40 5 1437 1 1 un NA 1
standi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 22 25 Male Right Morning A 2019-01-08 10:00:13 5 1220 1 1 un NA 1
tefuogo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 26 27 Female Right Morning A 2019-01-21 10:01:44 5 720 1 1 un NA 1
dovraca NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 4 22 Male Right Morning A 2018-09-19 13:50:24 5 1588 2 0 un NA 1
puliono NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 7 21 Male Right Morning B 2018-10-08 13:50:59 5 692 2 0 un NA 1
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 1 27 20 Female Right Morning B 2019-01-21 13:43:02 6 2001 -1 0 un novelword 1
buscio 11020 A guscio 1 3.558279151 6 6.7 1.8 1 6.69 1.75 1 6 initial 1 yes 1 22 25 Male Right Morning A 2019-01-08 10:00:13 6 1924 1 0 un novelword 1
