Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount rt Resp Acc learning lexicality Index
qualio NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 22 Male Right Morning A 2018-09-19 13:50:24 44 1483 1 1 un NA 1
zandre NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 14 22 Female Right Morning A 2018-11-12 13:44:47 44 1008 1 1 un NA 1
bisconto 11010 A biscotto 1 3.810538236 8 6.86 1.95 1 6.95 1.9 1 8 final 1 yes 3 4 22 Male Right Morning A 2018-09-19 13:50:24 45 1405 1 0 un novelword 3
buersa 12034 A NA NA NA NA NA NA NA 6.81 2 2 6 NA NA no 3 20 32 Female Right Morning A 2018-12-03 13:26:00 45 722 2 1 un novelword 3
cafugno 22036 B NA NA NA NA NA NA NA 6.56 2.75 2 7 NA NA no 3 27 20 Female Right Morning B 2019-01-21 13:43:02 45 635 2 1 un novelword 2
friborre 22041 B NA NA NA NA NA NA NA 6.83 2.8 2 8 NA NA no 3 11 25 Male Right Morning B 2018-11-02 13:41:00 45 1054 2 1 un novelword 2
ombelizo 21022 B ombelico 1 3.280828341 8 6.83 2.5 1 6.64 2.75 1 8 final 1 yes 3 3 25 Female Right Morning B 2018-09-19 09:54:40 45 1052 1 0 un novelword 3
ombelizo 21022 B ombelico 1 3.280828341 8 6.83 2.5 1 6.64 2.75 1 8 final 1 yes 3 23 32 Female Right Morning B 2019-01-08 13:42:19 45 588 2 1 un novelword 2
sentesto 12046 A NA NA NA NA NA NA NA 7.01 2 2 8 NA NA no 3 14 22 Female Right Morning A 2018-11-12 13:44:47 45 939 1 0 un novelword 1
amestapo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 16 24 Male Right Morning A 2018-11-15 10:03:56 45 1945 1 1 un NA 1
bisetta NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 22 25 Male Right Morning A 2019-01-08 10:00:13 45 1869 1 1 un NA 1
ciammo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 8 24 Female Right Morning A 2018-10-16 13:48:31 45 1077 1 1 un NA 1
iutato NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 45 811 1 1 un NA 1
latesse NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 7 21 Male Right Morning B 2018-10-08 13:50:59 45 873 1 1 un NA 1
oltarei NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 17 24 Male Right Morning B 2018-11-15 14:10:31 45 924 1 1 un NA 1
sberchei NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1 28 Male Right Morning B 2018-09-04 10:04:35 45 524 1 1 un NA 1
aquigone 21003 B aquilone 1 3.201647095 8 6.72 2.55 1 6.64 2.8 1 8 middle 1 yes 3 27 20 Female Right Morning B 2019-01-21 13:43:02 46 711 2 1 un novelword 3
bomuparo 12033 A NA NA NA NA NA NA NA 6.76 2.95 2 8 NA NA no 3 8 24 Female Right Morning A 2018-10-16 13:48:31 46 1420 2 1 un novelword 2
corazia 11015 A corazza 1 3.112609706 7 6.85 1.9 1 6.95 1.9 1 7 final 1 yes 3 16 24 Male Right Morning A 2018-11-15 10:03:56 46 1046 2 1 un novelword 2
igiana 21019 B iguana 1 2.81931216 6 6.8 1.9 1 6.95 1.9 1 6 middle 1 yes 3 1 28 Male Right Morning B 2018-09-04 10:04:35 46 974 2 1 un novelword 2
ombelizo 21022 B ombelico 1 3.280828341 8 6.83 2.5 1 6.64 2.75 1 8 final 1 yes 3 11 25 Male Right Morning B 2018-11-02 13:41:00 46 1019 2 1 un novelword 2
sosbegno 11026 A sostegno 1 4.034778653 8 6.84 2.15 1 6.62 2.7 1 8 middle 1 yes 3 20 32 Female Right Morning A 2018-12-03 13:26:00 46 504 2 1 un novelword 2
alcossie NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 22 Male Right Morning A 2018-09-19 13:50:24 46 1803 1 1 un NA 1
funtilgi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 17 24 Male Right Morning B 2018-11-15 14:10:31 46 1035 1 1 un NA 1
gioropo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 25 Female Right Morning B 2018-09-19 09:54:40 46 1782 2 0 un NA 1
mepitro NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 23 32 Female Right Morning B 2019-01-08 13:42:19 46 1124 1 1 un NA 1
piacia NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 22 25 Male Right Morning A 2019-01-08 10:00:13 46 1541 1 1 un NA 1
stindo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 14 22 Female Right Morning A 2018-11-12 13:44:47 46 1110 1 1 un NA 1
taccalza NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 7 21 Male Right Morning B 2018-10-08 13:50:59 46 664 2 0 un NA 1
ciesti NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 46 834 1 1 un NA 1
bagate 22032 B NA NA NA NA NA NA NA 6.89 1.35 1 6 NA NA no 3 11 25 Male Right Morning B 2018-11-02 13:41:00 47 941 1 0 un novelword 2
bomuparo 12033 A NA NA NA NA NA NA NA 6.76 2.95 2 8 NA NA no 3 22 25 Male Right Morning A 2019-01-08 10:00:13 47 1864 1 0 un novelword 1
picastro 21024 B pilastro 1 3.104737082 8 6.87 2.35 1 6.9 2.05 1 8 middle 1 yes 3 7 21 Male Right Morning B 2018-10-08 13:50:59 47 467 2 1 un novelword 3
pieppo 11025 A pioppo 1 2.458094958 6 6.61 1.95 1 6.54 1.9 1 6 middle 1 yes 3 4 22 Male Right Morning A 2018-09-19 13:50:24 47 1495 1 0 un novelword 1
auliso NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 16 24 Male Right Morning A 2018-11-15 10:03:56 47 1716 1 1 un NA 1
chialemo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 47 879 1 1 un NA 1
comesta NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 23 32 Female Right Morning B 2019-01-08 13:42:19 47 563 1 1 un NA 1
cononpa NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 20 32 Female Right Morning A 2018-12-03 13:26:00 47 1001 1 1 un NA 1
enonfe NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 8 24 Female Right Morning A 2018-10-16 13:48:31 47 612 1 1 un NA 1
iticomi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 14 22 Female Right Morning A 2018-11-12 13:44:47 47 2001 -1 0 un NA 1
piuniedi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 17 24 Male Right Morning B 2018-11-15 14:10:31 47 2001 -1 0 un NA 1
stoccon NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1 28 Male Right Morning B 2018-09-04 10:04:35 47 532 1 1 un NA 1
tranda NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 27 20 Female Right Morning B 2019-01-21 13:43:02 47 635 1 1 un NA 1
oncosso NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 25 Female Right Morning B 2018-09-19 09:54:40 47 1940 1 1 un NA 1
antensa 11007 A antenna 1 3.425187354 7 7.02 1.95 1 7.01 1.9 1 7 final 1 yes 3 16 24 Male Right Morning A 2018-11-15 10:03:56 48 1994 2 1 un novelword 2
dofile 21012 B docile 1 2.965440196 6 6.79 1.85 1 6.67 1.95 1 6 middle 1 yes 3 3 25 Female Right Morning B 2018-09-19 09:54:40 48 862 2 1 un novelword 3
ombelizo 21022 B ombelico 1 3.280828341 8 6.83 2.5 1 6.64 2.75 1 8 final 1 yes 3 23 32 Female Right Morning B 2019-01-08 13:42:19 48 546 2 1 un novelword 3
beiare NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 27 20 Female Right Morning B 2019-01-21 13:43:02 48 777 1 1 un NA 1
comati NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 48 890 1 1 un NA 1
dalego NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1 28 Male Right Morning B 2018-09-04 10:04:35 48 944 1 1 un NA 1
ereoppi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 22 25 Male Right Morning A 2019-01-08 10:00:13 48 928 1 1 un NA 1
impide NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 8 24 Female Right Morning A 2018-10-16 13:48:31 48 729 1 1 un NA 1
isolasbi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 11 25 Male Right Morning B 2018-11-02 13:41:00 48 1013 1 1 un NA 1
tomensa NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 7 21 Male Right Morning B 2018-10-08 13:50:59 48 738 2 0 un NA 1
enzuso NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 17 24 Male Right Morning B 2018-11-15 14:10:31 48 703 1 1 un NA 1
iziente NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 22 Male Right Morning A 2018-09-19 13:50:24 48 1798 1 1 un NA 1
oratocci NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 20 32 Female Right Morning A 2018-12-03 13:26:00 48 625 1 1 un NA 1
ratonve NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 14 22 Female Right Morning A 2018-11-12 13:44:47 48 874 1 1 un NA 1
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 3 7 21 Male Right Morning B 2018-10-08 13:50:59 49 876 2 1 un novelword 2
bandicci 22033 B NA NA NA NA NA NA NA 6.9 1.9 1 8 NA NA no 3 23 32 Female Right Morning B 2019-01-08 13:42:19 49 497 2 1 un novelword 3
bomuparo 12033 A NA NA NA NA NA NA NA 6.76 2.95 2 8 NA NA no 3 8 24 Female Right Morning A 2018-10-16 13:48:31 49 553 2 1 un novelword 3
cafugno 22036 B NA NA NA NA NA NA NA 6.56 2.75 2 7 NA NA no 3 27 20 Female Right Morning B 2019-01-21 13:43:02 49 638 2 1 un novelword 3
gadodo 12041 A NA NA NA NA NA NA NA 6.61 2 2 6 NA NA no 3 22 25 Male Right Morning A 2019-01-08 10:00:13 49 702 2 1 un novelword 3
tarogna 21008 B carogna 1 3.61986752 7 6.89 1.9 1 6.93 1.95 1 7 initial 1 yes 3 17 24 Male Right Morning B 2018-11-15 14:10:31 49 1209 1 0 un novelword 3
agnaso NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 20 32 Female Right Morning A 2018-12-03 13:26:00 49 449 1 1 un NA 1
analco NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 25 Female Right Morning B 2018-09-19 09:54:40 49 997 2 0 un NA 1
anesce NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 11 25 Male Right Morning B 2018-11-02 13:41:00 49 1058 1 1 un NA 1
cartra NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 16 24 Male Right Morning A 2018-11-15 10:03:56 49 1645 1 1 un NA 1
diciscie NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 14 22 Female Right Morning A 2018-11-12 13:44:47 49 928 1 1 un NA 1
fasbese NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 22 Male Right Morning A 2018-09-19 13:50:24 49 2001 -1 0 un NA 1
razzito NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 49 906 2 0 un NA 1
upette NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1 28 Male Right Morning B 2018-09-04 10:04:35 49 671 1 1 un NA 1
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 8 24 Female Right Morning A 2018-10-16 13:48:31 50 651 2 1 un novelword 3
aquigone 21003 B aquilone 1 3.201647095 8 6.72 2.55 1 6.64 2.8 1 8 middle 1 yes 3 1 28 Male Right Morning B 2018-09-04 10:04:35 50 645 2 1 un novelword 3
frilmodo 12039 A NA NA NA NA NA NA NA 6.71 3 3 8 NA NA no 3 22 25 Male Right Morning A 2019-01-08 10:00:13 50 1667 2 1 un novelword 3
gateri 22043 B NA NA NA NA NA NA NA 7.12 1.95 1 6 NA NA no 3 7 21 Male Right Morning B 2018-10-08 13:50:59 50 778 1 0 un novelword 2
pieppo 11025 A pioppo 1 2.458094958 6 6.61 1.95 1 6.54 1.9 1 6 middle 1 yes 3 4 22 Male Right Morning A 2018-09-19 13:50:24 50 1639 1 0 un novelword 2
tulifano 21029 B tulipano 1 2.614169104 8 6.83 2.45 1 6.79 2.4 1 8 middle 1 yes 3 17 24 Male Right Morning B 2018-11-15 14:10:31 50 1655 2 1 un novelword 2
ardale NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 14 22 Female Right Morning A 2018-11-12 13:44:47 50 831 1 1 un NA 1
fatanvo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 50 1003 1 1 un NA 1
ocullego NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 27 20 Female Right Morning B 2019-01-21 13:43:02 50 814 1 1 un NA 1
timinche NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 23 32 Female Right Morning B 2019-01-08 13:42:19 50 550 1 1 un NA 1
tropre NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 25 Female Right Morning B 2018-09-19 09:54:40 50 799 1 1 un NA 1
istase NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 11 25 Male Right Morning B 2018-11-02 13:41:00 50 829 2 0 un NA 1
nonove NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 16 24 Male Right Morning A 2018-11-15 10:03:56 50 1570 2 0 un NA 1
noscre NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 20 32 Female Right Morning A 2018-12-03 13:26:00 50 680 1 1 un NA 1
batole 12032 A NA NA NA NA NA NA NA 6.94 1.8 1 6 NA NA no 3 14 22 Female Right Morning A 2018-11-12 13:44:47 51 1108 2 1 un novelword 3
friborre 22041 B NA NA NA NA NA NA NA 6.83 2.8 2 8 NA NA no 3 11 25 Male Right Morning B 2018-11-02 13:41:00 51 748 2 1 un novelword 3
igiana 21019 B iguana 1 2.81931216 6 6.8 1.9 1 6.95 1.9 1 6 middle 1 yes 3 1 28 Male Right Morning B 2018-09-04 10:04:35 51 551 2 1 un novelword 3
omnesia 11002 A amnesia 1 3.488683741 7 6.9 1.85 1 6.87 2.15 1 7 initial 1 yes 3 4 22 Male Right Morning A 2018-09-19 13:50:24 51 555 2 1 un novelword 3
rassoio 11030 A vassoio 0 3.540200757 7 6.75 1.95 1 6.86 1.85 1 7 initial 1 yes 3 22 25 Male Right Morning A 2019-01-08 10:00:13 51 1688 1 0 un novelword 2
scatra 22045 B NA NA NA NA NA NA NA 7 1.6 1 6 NA NA no 3 3 25 Female Right Morning B 2018-09-19 09:54:40 51 709 2 1 un novelword 3
sosbegno 11026 A sostegno 1 4.034778653 8 6.84 2.15 1 6.62 2.7 1 8 middle 1 yes 3 20 32 Female Right Morning A 2018-12-03 13:26:00 51 598 2 1 un novelword 3
spiaglia 21026 B spiaggia 1 4.475241145 8 6.79 1.8 1 6.85 1.95 1 8 final 1 yes 3 7 21 Male Right Morning B 2018-10-08 13:50:59 51 1270 2 1 un novelword 1
adubitie NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 23 32 Female Right Morning B 2019-01-08 13:42:19 51 578 1 1 un NA 1
chiaccio NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 27 20 Female Right Morning B 2019-01-21 13:43:02 51 972 2 0 un NA 1
iacaza NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 51 684 2 0 un NA 1
mereedei NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 17 24 Male Right Morning B 2018-11-15 14:10:31 51 892 1 1 un NA 1
staifu NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 16 24 Male Right Morning A 2018-11-15 10:03:56 51 1389 1 1 un NA 1
ornerti NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 8 24 Female Right Morning A 2018-10-16 13:48:31 51 490 1 1 un NA 1
anguato 21001 B agguato 1 3.494119287 7 6.76 1.9 1 6.91 1.75 1 7 initial 1 yes 3 17 24 Male Right Morning B 2018-11-15 14:10:31 52 1336 2 1 un novelword 1
augubio 21004 B augurio 1 2.942971678 7 6.68 1.85 1 6.41 2.7 1 7 middle 1 yes 3 3 25 Female Right Morning B 2018-09-19 09:54:40 52 1328 2 1 un novelword 2
autinno 11027 A autunno 1 3.904833584 7 6.53 1.75 1 6.35 2.45 1 7 final 1 yes 3 16 24 Male Right Morning A 2018-11-15 10:03:56 52 1806 2 1 un novelword 3
frutirca 12040 A NA NA NA NA NA NA NA 6.69 2.95 2 8 NA NA no 3 20 32 Female Right Morning A 2018-12-03 13:26:00 52 512 2 1 un novelword 3
inguento 11029 A unguento 1 2.958079096 8 6.78 2.6 1 6.89 1.95 1 8 initial 1 yes 3 26 27 Female Right Morning A 2019-01-21 10:01:44 52 830 2 1 un novelword 2
mefinga 11021 A meringa 1 2.668044485 7 7.02 1.95 1 6.73 2.4 1 7 middle 1 yes 3 22 25 Male Right Morning A 2019-01-08 10:00:13 52 675 2 1 un novelword 3
emmonse NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 27 20 Female Right Morning B 2019-01-21 13:43:02 52 1013 1 1 un NA 1
fuesieppo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 14 22 Female Right Morning A 2018-11-12 13:44:47 52 1938 2 0 un NA 1
rebbiaco NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 11 25 Male Right Morning B 2018-11-02 13:41:00 52 1255 2 0 un NA 1
semprin NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1 28 Male Right Morning B 2018-09-04 10:04:35 52 566 1 1 un NA 1
senterzo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 23 32 Female Right Morning B 2019-01-08 13:42:19 52 808 2 0 un NA 1
vanoro NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 22 Male Right Morning A 2018-09-19 13:50:24 52 1111 2 0 un NA 1
iriraca NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 8 24 Female Right Morning A 2018-10-16 13:48:31 52 808 1 1 un NA 1
pontab NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 7 21 Male Right Morning B 2018-10-08 13:50:59 52 731 1 1 un NA 1
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 26 27 Female Right Morning A 2019-01-21 10:01:44 53 518 2 1 un novelword 3
augubio 21004 B augurio 1 2.942971678 7 6.68 1.85 1 6.41 2.7 1 7 middle 1 yes 3 3 25 Female Right Morning B 2018-09-19 09:54:40 53 537 2 1 un novelword 3
buensi 22035 B NA NA NA NA NA NA NA 6.71 1.95 1 6 NA NA no 3 7 21 Male Right Morning B 2018-10-08 13:50:59 53 732 2 1 un novelword 2
facusta 22039 B NA NA NA NA NA NA NA 6.77 1.95 1 7 NA NA no 3 17 24 Male Right Morning B 2018-11-15 14:10:31 53 837 2 1 un novelword 2
fordora 11017 A forfora 0 2.502677091 7 6.83 2.25 1 6.88 1.95 1 7 middle 1 yes 3 14 22 Female Right Morning A 2018-11-12 13:44:47 53 1626 2 1 un novelword 3
pieppo 11025 A pioppo 1 2.458094958 6 6.61 1.95 1 6.54 1.9 1 6 middle 1 yes 3 4 22 Male Right Morning A 2018-09-19 13:50:24 53 683 2 1 un novelword 3
rassoio 11030 A vassoio 0 3.540200757 7 6.75 1.95 1 6.86 1.85 1 7 initial 1 yes 3 22 25 Male Right Morning A 2019-01-08 10:00:13 53 1070 2 1 un novelword 3
ancole NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 16 24 Male Right Morning A 2018-11-15 10:03:56 53 1518 1 1 un NA 1
chiaorse NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1 28 Male Right Morning B 2018-09-04 10:04:35 53 1186 1 1 un NA 1
icasbi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 8 24 Female Right Morning A 2018-10-16 13:48:31 53 889 1 1 un NA 1
rmestapo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 20 32 Female Right Morning A 2018-12-03 13:26:00 53 487 1 1 un NA 1
sincanvi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 27 20 Female Right Morning B 2019-01-21 13:43:02 53 1213 1 1 un NA 1
ultimmi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 11 25 Male Right Morning B 2018-11-02 13:41:00 53 938 2 0 un NA 1
tiesbo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 23 32 Female Right Morning B 2019-01-08 13:42:19 53 728 1 1 un NA 1
bagate 22032 B NA NA NA NA NA NA NA 6.89 1.35 1 6 NA NA no 3 11 25 Male Right Morning B 2018-11-02 13:41:00 54 816 2 1 un novelword 3
trofuo 21028 B trofeo 1 3.669489726 6 6.62 1.85 1 6.59 1.95 1 6 final 1 yes 3 27 20 Female Right Morning B 2019-01-21 13:43:02 54 664 2 1 un novelword 3
alusco NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 25 Female Right Morning B 2018-09-19 09:54:40 54 1108 1 1 un NA 1
arselte NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 54 844 1 1 un NA 1
iesbonve NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 14 22 Female Right Morning A 2018-11-12 13:44:47 54 724 1 1 un NA 1
ollavuo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1 28 Male Right Morning B 2018-09-04 10:04:35 54 728 1 1 un NA 1
semprin NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 22 25 Male Right Morning A 2019-01-08 10:00:13 54 980 1 1 un NA 1
ticossi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 7 21 Male Right Morning B 2018-10-08 13:50:59 54 620 1 1 un NA 1
tualle NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 4 22 Male Right Morning A 2018-09-19 13:50:24 54 1397 1 1 un NA 1
unfulte NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 8 24 Female Right Morning A 2018-10-16 13:48:31 54 772 1 1 un NA 1
giontea NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 23 32 Female Right Morning B 2019-01-08 13:42:19 54 835 1 1 un NA 1
imindo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 17 24 Male Right Morning B 2018-11-15 14:10:31 54 881 1 1 un NA 1
oratocci NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 16 24 Male Right Morning A 2018-11-15 10:03:56 54 1786 2 0 un NA 1
propra NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 20 32 Female Right Morning A 2018-12-03 13:26:00 54 1088 1 1 un NA 1
batole 12032 A NA NA NA NA NA NA NA 6.94 1.8 1 6 NA NA no 3 20 32 Female Right Morning A 2018-12-03 13:26:00 55 1341 1 0 un novelword 3
batole 12032 A NA NA NA NA NA NA NA 6.94 1.8 1 6 NA NA no 3 26 27 Female Right Morning A 2019-01-21 10:01:44 55 1248 2 1 un novelword 3
bomuparo 12033 A NA NA NA NA NA NA NA 6.76 2.95 2 8 NA NA no 3 22 25 Male Right Morning A 2019-01-08 10:00:13 55 1616 2 1 un novelword 2
corazia 11015 A corazza 1 3.112609706 7 6.85 1.9 1 6.95 1.9 1 7 final 1 yes 3 16 24 Male Right Morning A 2018-11-15 10:03:56 55 1831 2 1 un novelword 3
corazia 11015 A corazza 1 3.112609706 7 6.85 1.9 1 6.95 1.9 1 7 final 1 yes 3 4 22 Male Right Morning A 2018-09-19 13:50:24 55 1156 2 1 un novelword 2
ettinita 22038 B NA NA NA NA NA NA NA 6.97 2.55 2 8 NA NA no 3 23 32 Female Right Morning B 2019-01-08 13:42:19 55 785 2 1 un novelword 3
gateri 22043 B NA NA NA NA NA NA NA 7.12 1.95 1 6 NA NA no 3 7 21 Male Right Morning B 2018-10-08 13:50:59 55 575 1 0 un novelword 3
scapippo 12045 A NA NA NA NA NA NA NA 6.65 2.75 2 8 NA NA no 3 8 24 Female Right Morning A 2018-10-16 13:48:31 55 663 2 1 un novelword 2
tarogna 21008 B carogna 1 3.61986752 7 6.89 1.9 1 6.93 1.95 1 7 initial 1 yes 3 3 25 Female Right Morning B 2018-09-19 09:54:40 55 1128 2 1 un novelword 3
unguria 11006 A anguria 1 2.946798086 7 6.94 1.95 1 6.8 2.1 1 7 initial 1 yes 3 14 22 Female Right Morning A 2018-11-12 13:44:47 55 841 2 1 un novelword 2
cosbigo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 11 25 Male Right Morning B 2018-11-02 13:41:00 55 859 1 1 un NA 1
onelpe NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 1 28 Male Right Morning B 2018-09-04 10:04:35 55 822 1 1 un NA 1
tescorma NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 27 20 Female Right Morning B 2019-01-21 13:43:02 55 764 1 1 un NA 1
zofelope NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 17 24 Male Right Morning B 2018-11-15 14:10:31 55 916 1 1 un NA 1
corazia 11015 A corazza 1 3.112609706 7 6.85 1.9 1 6.95 1.9 1 7 final 1 yes 3 4 22 Male Right Morning A 2018-09-19 13:50:24 56 985 2 1 un novelword 3
menpola 21021 B mensola 1 3.085792887 7 6.85 1.95 1 6.74 1.9 1 7 middle 1 yes 3 23 32 Female Right Morning B 2019-01-08 13:42:19 56 945 1 0 un novelword 3
spitana 12047 A NA NA NA NA NA NA NA 6.93 1.95 1 7 NA NA no 3 14 22 Female Right Morning A 2018-11-12 13:44:47 56 951 2 1 un novelword 2
tulifano 21029 B tulipano 1 2.614169104 8 6.83 2.45 1 6.79 2.4 1 8 middle 1 yes 3 17 24 Male Right Morning B 2018-11-15 14:10:31 56 790 2 1 un novelword 3
agarlo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 27 20 Female Right Morning B 2019-01-21 13:43:02 56 862 1 1 un NA 1
chiento NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 7 21 Male Right Morning B 2018-10-08 13:50:59 56 867 2 0 un NA 1
cingogli NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 26 27 Female Right Morning A 2019-01-21 10:01:44 56 861 1 1 un NA 1
